23, 2, 14, 6, 1, 9, 1, 11
48, 1, 11, 1, 1, 5, 1, 7
48, 1, 10, 1, 1, 5, 39, 36
44, 1, 12, 3, 1, 2, 1, 36
36, 1, 14, 1, 1, 5, 1, 0
55, 1, 10, 1, 1, 3, 1, 1
41, 1, 12, 1, 1, 5, 1, 2
37, 2, 7, 4, 2, 5, 1, 23
54, 1, 12, 1, 1, 8, 1, 10
44, 1, 10, 1, 2, 9, 1, 44
39, 2, 7, 1, 1, 3, 1, 22
28, 1, 14, 1, 1, 10, 1, 31
34, 1, 11, 4, 1, 5, 1, 43
46, 1, 14, 1, 6, 3, 48, 7
26, 1, 11, 1, 1, 6, 14, 49
40, 1, 11, 1, 1, 5, 1, 24
44, 1, 11, 1, 2, 5, 1, 23
37, 1, 10, 1, 1, 5, 1, 28
35, 1, 15, 6, 1, 5, 1, 0
24, 1, 7, 1, 7, 5, 1, 32
39, 1, 14, 6, 1, 5, 1, 0
63, 1, 14, 1, 1, 5, 1, 6
38, 1, 14, 1, 1, 5, 1, 6
35, 1, 14, 1, 1, 9, 1, 11
41, 1, 9, 6, 1, 5, 1, 36
80, 1, 15, 1, 1, 2, 1, 21
42, 2, 11, 4, 1, 5, 1, 28
48, 1, 15, 1, 1, 6, 1, 8
32, 1, 10, 1, 1, 5, 1, 31
40, 2, 12, 6, 7, 8, 1, 21
67, 1, 1, 4, 2, 5, 1, 48
73, 1, 11, 1, 1, 5, 1, 4
20, 1, 11, 6, 2, 5, 6, 20
54, 1, 11, 1, 1, 5, 1, 23
55, 1, 10, 1, 1, 5, 1, 34
38, 1, 6, 1, 7, 5, 3, 30
45, 1, 12, 1, 1, 5, 1, 6
67, 1, 15, 1, 1, 2, 1, 5
31, 1, 8, 6, 1, 5, 1, 35
48, 1, 10, 1, 1, 5, 1, 10
32, 1, 10, 1, 7, 5, 7, 40
40, 1, 14, 1, 1, 5, 1, 2
43, 1, 14, 1, 1, 5, 1, 4
19, 2, 11, 6, 1, 5, 1, 29
77, 2, 8, 5, 1, 5, 1, 23
36, 2, 11, 5, 1, 5, 1, 3
58, 1, 5, 4, 1, 5, 1, 45
28, 1, 8, 1, 1, 5, 1, 36
